Gemi Adi,Konteyner Numarasi,Kalkis Limani,Varis Limani,Kalkis Tarihi,Varis Tarihi,Tasima Ucreti,Tasima Mesafesi
"Day, Gould and Webb",5553958415,East James,Jordanbury,2023-06-12 21:21:50,2024-04-10 11:19:39,8006.59,131.84
Robles-Bennett,716593477,East Michael,Nortonmouth,2023-07-15 08:56:07,2024-07-11 06:00:36,6159.99,8654.93
"Blair, Cook and Meyer",8507908534,Michelleland,Gregorystad,2023-10-19 07:50:01,2024-08-26 16:35:08,1661.18,9698.7
"Young, Jenkins and Chavez",4687482488,South Jeffrey,Lynntown,2023-11-10 22:50:41,2024-08-28 15:10:15,1988.82,5009.1
"Norton, Robbins and Green",6778903167,Lake Jasonfurt,Kimberlytown,2023-04-22 09:34:17,2024-03-08 09:31:27,6788.83,7674.4
"Perry, Kelley and Nunez",1514403609,Danielport,Sierrabury,2023-12-14 22:30:40,2024-05-26 01:02:21,6437.75,4771.43
"Herrera, Martinez and Leon",9330704147,Tranton,West Ginaport,2023-08-11 17:50:05,2024-02-27 02:27:25,7209.21,6022.21
Estes Ltd,1543333171,Garciashire,East Michaelstad,2023-09-17 22:31:11,2024-02-29 21:40:29,1983.76,8622.33
Harvey-Olson,5139678641,Zamorafort,Mejiaview,2023-05-15 04:43:05,2024-06-28 18:18:33,5118.1,9465.18
"Sullivan, Smith and Campbell",2086625760,Peterston,Diazville,2023-12-10 16:23:02,2024-12-18 21:02:27,4752.97,2451.76
Brown and Sons,9247162869,Christineside,Port Michael,2023-10-04 08:26:58,2025-01-09 07:04:48,3513.59,9620.43
Hammond Group,9292813811,Williamschester,Branchside,2023-06-14 07:53:58,2024-04-16 13:41:38,4420.68,1933.81
"Marshall, Rogers and Clark",2377524952,South Michaeltown,Markshaven,2023-12-05 12:46:50,2024-03-20 06:08:08,6224.58,6265.52
Mcbride-Robbins,7851167973,West Amy,New Tammyton,2023-06-03 10:05:34,2024-03-23 16:26:20,6772.4,5796.02
"Hess, Rogers and Murphy",1892055473,Hallfurt,Port Victor,2023-05-05 08:42:35,2024-06-15 07:37:48,9379.3,1910.91
Nguyen Ltd,4745376847,Lake Jasmineland,Burnsshire,2023-08-06 23:25:48,2024-11-27 04:51:28,7428.95,5902.71
Bell Inc,1330621327,Kennethbury,Port Juliastad,2023-06-08 04:30:35,2024-03-08 05:41:23,4301.84,4459.03
Hicks Ltd,1007472707,Lozanostad,Elizabethshire,2023-07-16 06:44:30,2024-06-02 21:40:34,8079.26,1345.57
Brown-Byrd,2361581164,Travisshire,East Stephaniefort,2023-06-23 06:12:51,2024-06-02 14:18:05,6966.29,2947.28
Johnson-Mccarty,9562845123,Christopherside,Martinburgh,2023-04-28 15:31:26,2024-10-26 17:06:03,2963.96,4404.89
"Hamilton, Murphy and Estrada",6868445494,Kathrynbury,Newmanchester,2023-11-13 13:47:18,2025-02-18 13:38:50,3764.54,7981.67
Williams-Miller,9996375488,Lake Katelyn,Deckerland,2023-11-08 07:14:26,2024-12-28 00:04:13,1419.86,4999.58
Harper-Garcia,1663375084,South Sarah,Butlerburgh,2023-06-09 10:05:56,2024-04-24 11:05:06,6437.84,1501.61
"Graham, Sandoval and Terry",9038802740,South Shelley,Palmermouth,2023-05-26 05:27:27,2024-08-24 08:34:19,7154.19,3232.69
Johnson-Edwards,665858210,South Lisafurt,South Petermouth,2023-04-17 13:44:22,2024-06-02 15:42:20,6801.09,7224.06
Orozco PLC,2185423166,Jonesburgh,Port Lisamouth,2023-09-26 14:09:06,2025-01-10 12:49:03,5462.24,8670.92
Dillon-Jenkins,8041991524,Robinmouth,East David,2023-10-05 14:25:42,2025-02-13 01:55:06,5777.93,3183.81
Burgess and Sons,1492639103,Thomasville,New Cynthia,2023-08-13 23:00:22,2024-05-07 06:08:42,9421.76,9084.97
"Bender, Riley and Carroll",7315283756,Lake Jennifer,Moralesville,2023-07-11 23:14:53,2024-03-19 14:33:09,3774.82,4017.09
"Price, Hernandez and Robles",5979544475,East Joshuabury,New Amanda,2023-06-14 03:55:44,2024-09-27 08:33:34,3075.39,8824.48
Davis-Silva,1683993606,Stokesberg,Christopherchester,2023-04-20 05:03:25,2024-07-12 16:10:08,5213.09,7450.54
"Sheppard, Houston and Golden",6752096066,Whiteheadchester,Lake Lawrence,2023-09-23 12:06:09,2025-01-23 04:38:58,9050.84,7723.85
Kim-Sanchez,9512968797,South Tanner,Lake Shirleyburgh,2023-10-25 08:00:14,2025-01-29 10:41:17,5443.37,7712.27
Moyer-Perez,9272771035,New Joshua,Jamestown,2023-10-09 19:01:33,2024-08-18 09:42:16,5954.48,246.71
Garcia-Scott,8965385850,Amberport,Port Christopher,2024-01-08 06:02:24,2024-12-10 02:38:24,2172.09,5071.56
Chavez-Spence,292119883,Thomasview,Stricklandshire,2023-10-11 17:10:23,2024-10-15 05:08:20,3347.24,3169.45
Lewis-Ramirez,6681244391,West Dawn,Kochton,2023-08-26 17:14:36,2024-06-15 05:00:06,9387.83,7938.02
Johnson-Pierce,179640430,Mccoyborough,Heatherhaven,2023-11-09 17:25:18,2024-03-07 23:21:34,3405.52,337.94
Johnson-Patton,4402570705,Bergbury,Lake Jessica,2024-02-16 13:41:33,2024-06-23 03:10:47,9975.82,6653.33
Rosales Group,5551578989,Andreamouth,New Wayneville,2023-09-22 18:53:18,2025-02-15 19:05:28,1693.97,6827.65
Wallace Group,6886891169,Ashleybury,Mccormickbury,2023-06-19 19:02:05,2024-11-19 22:45:41,3927.46,3715.86
"Walters, Cervantes and Trevino",183357414,West Joshuaville,East Lorihaven,2023-02-19 21:38:20,2025-01-05 23:06:55,6524.43,4597.58
"Campbell, Noble and Macdonald",1452508557,Princemouth,East Rebecca,2023-06-15 15:07:15,2025-02-14 02:53:22,7772.65,3802.47
Combs-Jackson,2739482106,Port Kimstad,Tylerville,2023-09-15 13:23:33,2024-04-02 20:28:20,1879.0,5728.25
"Wright, Delgado and Turner",1069041429,Michaelview,Ronniehaven,2023-07-24 22:05:30,2024-05-13 21:13:34,3608.06,8491.1
Harvey Group,8527382340,Lake Yvonnefurt,Warrenchester,2023-10-25 03:25:33,2024-09-03 14:55:22,2751.63,5165.53
Lopez-Kelly,7550544215,Lake Jessicachester,Martinhaven,2023-10-09 03:55:59,2024-04-11 02:28:12,4162.49,1209.97
Sullivan-Sawyer,3711775794,South Shawnshire,East Charlesborough,2023-07-03 22:13:34,2025-01-20 20:11:57,1221.47,9840.08
"Farmer, Bennett and Rodriguez",178060713,Troyburgh,Sarachester,2023-06-29 06:01:20,2024-03-05 04:21:08,7238.12,9112.1
Peters Inc,7837746971,Lopezmouth,East Sarah,2023-12-22 13:14:23,2024-12-20 11:34:47,6431.39,7328.01
"Hernandez, Obrien and Porter",4363206428,West Glen,Saraport,2024-02-18 03:05:19,2024-02-22 12:14:07,7822.21,9270.55
Crawford LLC,6253684917,Georgeview,Rhondamouth,2023-04-27 18:42:49,2024-07-17 15:54:42,6237.12,2913.25
Kelly-Henderson,749375930,Lake Carol,Newmanchester,2023-12-08 06:29:34,2024-11-11 10:34:41,4156.2,8067.17
"Thomas, Martin and Ballard",9132007404,Lake Patricia,Lake Tamara,2023-07-26 05:22:45,2024-12-11 08:58:20,9799.05,3583.22
Landry Group,8259369435,Saramouth,Michelleport,2023-11-23 14:35:38,2024-05-05 11:03:15,5004.33,1066.4
"Dickerson, Kent and Tyler",986065981,Lake Steven,East Paul,2023-09-10 20:16:55,2024-06-20 14:23:18,6975.23,4987.4
Taylor-Williams,284987763,Christopherside,New Justin,2023-08-09 10:40:36,2024-06-08 19:50:10,7985.86,4344.1
Walker and Sons,9396549855,Anthonyberg,North Charles,2023-11-17 11:19:06,2024-06-28 22:47:36,5967.67,7719.61
Gallegos-Smith,3399177666,South Alison,Port Laurieport,2023-12-30 23:47:55,2024-11-29 17:38:55,6075.62,1279.19
Shelton-Morris,6353799069,South Nicole,West Brandon,2023-11-21 20:31:34,2025-02-01 05:23:51,7684.81,1189.87
Edwards Inc,4567639837,Sharonfurt,Smithborough,2023-11-26 14:22:31,2024-02-21 21:57:52,7131.92,3102.41
Long-Perez,6303272910,New Sallyfurt,New Aprilbury,2023-10-28 04:01:17,2025-01-19 18:07:38,8866.68,8136.96
Jimenez and Sons,6734655246,East Wendy,Huffmantown,2023-11-13 15:07:14,2024-12-19 22:59:23,9896.57,251.56
"Hill, Osborne and Evans",5937572937,Erinmouth,West Teresaton,2023-11-25 22:51:09,2025-01-04 12:20:00,9882.14,9577.34
Cooley-Howell,3630670618,Suttonstad,South Mariaborough,2023-07-09 18:57:14,2025-02-15 21:14:02,6166.97,8526.24
"Salinas, Sellers and Stewart",3785768082,New Natashafurt,New Cherylfort,2023-09-21 00:14:56,2024-09-26 00:39:31,6185.73,8441.88
Perez-Davis,4963251285,North Brandy,East Kevin,2023-10-17 20:31:37,2024-12-01 19:09:06,4326.12,1472.6
Adams-Gordon,4381982944,West Peter,South Melissa,2023-07-04 22:38:21,2024-02-24 22:49:16,2285.96,3653.45
Jackson LLC,7332245762,Hunterborough,East Tanyafurt,2023-06-05 10:35:39,2024-07-20 12:45:56,2809.01,3839.85
Williams-Thompson,463006193,Zimmermanshire,Mitchellfurt,2023-12-25 06:37:39,2024-08-15 19:15:17,5832.38,4397.73
Torres LLC,9500595048,Lake Ronaldbury,Greenburgh,2023-09-25 18:30:50,2024-03-24 09:25:18,8946.33,3494.57
Bass-Jackson,2065262983,Lake Jasontown,Christinamouth,2023-03-26 17:00:45,2024-09-04 15:26:32,9724.13,2063.91
"Edwards, Silva and Garcia",6559755366,Coryside,Lake Michaelside,2023-05-30 04:46:33,2024-06-22 22:06:20,2653.94,5377.81
Stanton LLC,9893971821,Bergmouth,West Jerrychester,2023-10-23 08:44:43,2024-11-21 19:06:42,9095.63,6102.95
Thompson LLC,5522550323,North Zachary,Port Wesleyburgh,2023-07-03 06:01:41,2025-01-31 00:04:05,7531.5,413.85
Oliver-Dunn,4342045438,Williamstown,Suttonburgh,2023-05-09 01:16:54,2024-09-16 13:49:52,6590.68,6016.65
Hernandez-Webster,6869314473,Kevinfurt,South Heather,2023-04-29 09:47:47,2024-10-08 18:17:18,7589.96,3680.29
Phillips LLC,1845229236,Lake Kyle,Margaretburgh,2024-02-11 17:35:53,2024-09-12 06:47:34,3538.98,6560.85
"Dalton, Lowery and Norton",5784382512,Port Hannahberg,Jasonville,2023-09-04 02:37:41,2024-05-16 12:31:27,8771.41,8981.48
Williamson and Sons,5001967491,North Lauratown,Leechester,2023-05-06 01:34:07,2024-07-02 00:18:12,9182.91,3952.11
Nguyen-Smith,6000815568,Mathewsland,South Thomasview,2023-09-27 08:18:55,2024-11-11 20:24:50,5491.19,3168.4
"Leon, Chase and Hogan",793216894,Bradleychester,Peterside,2023-06-21 16:00:08,2024-03-30 11:35:54,8317.82,6774.34
Caldwell-Harvey,8069927485,New Danaton,Joseland,2023-07-03 01:00:13,2024-11-18 17:28:22,2496.32,1604.27
"Potts, Vargas and Stephenson",4811080079,Charlesville,Lake Joseph,2023-10-01 08:53:57,2024-08-26 13:08:44,9823.39,484.01
Odom Group,2853365336,Brownmouth,Williamtown,2023-06-10 02:32:29,2024-10-09 16:21:29,6786.14,8963.96
Warren-Evans,8984206702,Angelachester,Jennymouth,2023-08-15 04:28:53,2024-10-11 04:33:59,4790.88,3331.49
"Lopez, Adams and Middleton",1324538417,West Jamesfort,Longhaven,2023-05-19 20:06:47,2024-05-03 04:52:02,3952.06,7273.57
Williams Inc,1096303279,New Michelle,Woodberg,2023-03-03 05:44:21,2024-05-17 08:29:44,9776.66,5998.72
Long Inc,3721985028,Port Sandra,New Davidtown,2024-02-07 15:27:21,2025-02-07 07:12:58,9122.34,7381.77
"Price, Lowe and Moreno",8046049345,West Adamshire,Christopherburgh,2023-04-21 09:44:39,2024-10-29 16:08:14,1867.94,8767.54
"Diaz, Rosales and Green",4289223986,Fordberg,Brownshire,2023-09-06 10:28:56,2024-07-23 09:55:39,5630.99,596.18
"Luna, Jones and Adams",5014573636,West Sara,East Michaelborough,2023-12-15 22:24:02,2025-02-01 15:06:24,5197.73,574.46
"Jones, Owens and Rodriguez",1378663289,North Richardfort,Robbinsburgh,2024-02-06 04:35:32,2024-04-07 14:14:38,8411.27,6966.1
Anthony Inc,28943508,Lake Jennifer,New Regina,2023-08-28 08:22:24,2025-02-11 05:35:18,2811.87,9876.17
"Mueller, Nguyen and Davis",4268226497,Lake Brianfort,Leeburgh,2023-10-10 16:02:57,2024-11-20 09:54:22,7711.01,1340.33
Gibson LLC,3966442703,Churchfurt,West Donald,2023-05-23 07:11:15,2024-05-12 12:01:43,6724.31,4152.21
Ross PLC,2340924644,New Josephmouth,North Michelle,2023-07-23 19:09:53,2024-08-16 01:31:00,8659.58,7412.09
Adams-Morgan,4015847990,New Markstad,Brianstad,2024-01-18 03:57:19,2024-12-18 12:00:32,3992.07,6710.7
"Gomez, Clark and Freeman",448847248,West Luke,East Davidshire,2024-01-24 13:37:25,2025-02-02 03:48:08,6859.4,3113.77
"Matthews, Jones and Howard",1398956220,Candacebury,Lake Todd,2023-04-10 23:49:27,2024-07-10 01:50:32,1109.81,2279.61
"Martinez, Ashley and Anderson",3197629564,Port Laura,Staceybury,2023-04-30 22:45:21,2025-02-09 04:58:26,1686.22,4301.11
"Parsons, Reid and Harris",9296463845,New William,Sanchezland,2023-04-07 05:11:02,2024-08-03 13:44:45,5337.07,9371.39
Rodriguez-Dickerson,6714997,Wilsonchester,Curtisfort,2023-09-25 14:40:36,2024-03-15 00:40:11,8277.25,2749.37
"Sutton, Jenkins and Moore",591926639,East Donnamouth,East Colleenchester,2023-07-22 17:22:38,2024-04-12 14:25:28,7268.93,6693.36
Thompson and Sons,439339375,North Tina,North Michelleberg,2024-02-10 15:20:38,2024-04-14 11:20:09,7370.13,2874.05
Hodge LLC,9811218723,Perezberg,Caseville,2023-09-01 10:47:51,2024-05-12 08:13:01,3734.98,8776.65
Matthews and Sons,1306349616,Nunezfurt,East Amy,2023-06-22 16:21:39,2024-03-06 01:51:51,9993.55,3512.11
Gibbs Inc,8190480203,West Joseph,Lake Patrickstad,2023-10-02 10:07:04,2025-01-31 02:51:25,8979.94,4550.73
Osborne-King,9966309525,Kyleborough,Jonesland,2024-02-01 05:31:06,2024-04-24 18:18:54,3405.48,1032.4
"Castaneda, Sandoval and Hernandez",6152872475,East Francisco,Gibbsfort,2023-04-29 19:19:23,2025-02-05 23:24:50,5715.48,1558.88
"Ruiz, Henry and Rojas",7729901717,Wayneton,North Joshuachester,2023-10-17 05:01:09,2024-07-02 09:35:08,8002.06,3772.18
"Fox, Lucas and Bryant",7546686675,Lake Eugene,Port Samantha,2023-12-03 21:35:08,2025-02-06 08:16:13,3105.42,186.7
"Stanley, Jackson and Herman",5358179162,Lake Ricky,Staceyville,2023-05-18 11:25:05,2024-04-07 05:00:47,7698.88,3788.16
"Johnson, Johnson and Sanders",2317414337,North Paula,Blackwellburgh,2023-04-30 03:19:12,2024-12-21 17:03:39,8157.96,874.3
Wright PLC,2893019195,East Nicholas,Jodybury,2023-08-03 18:03:37,2024-04-03 20:32:26,8283.9,8764.48
Silva-Reese,9219501700,New Nancymouth,Wyattport,2023-06-17 07:21:58,2024-06-17 07:56:38,8326.85,6261.02
Hernandez and Sons,1706519268,Shannonshire,Walkermouth,2023-04-19 11:45:58,2024-06-22 19:16:33,6453.46,1374.48
Bryan-Arellano,7119811604,North Jonathan,Jacksonville,2023-03-26 07:49:27,2024-04-08 09:16:06,7557.28,6599.81
"Yates, Martin and Mercado",9460644753,East Erika,Nicolechester,2023-03-24 07:33:11,2024-04-19 03:05:41,4865.25,311.83
"Valdez, Thomas and Williams",6950227945,Ryanmouth,Wallaceland,2023-04-23 06:37:12,2025-01-17 18:31:23,6615.83,2012.77
Evans Ltd,5933625916,West Shawnfurt,Matthewfurt,2023-10-08 05:13:05,2024-10-18 14:35:54,6032.44,5378.11
"Cook, Wyatt and Barron",5695713173,South Kristihaven,Port Amy,2024-01-06 01:40:41,2024-07-13 22:11:32,5353.07,9186.82
Brown PLC,4615856995,Rasmussenburgh,South Rebeccabury,2023-07-28 16:36:05,2024-07-08 08:58:52,2566.41,7211.46
Lee-Sandoval,2277123054,Lake Makaylamouth,Port Travisburgh,2023-10-09 22:12:27,2024-05-22 12:25:49,5077.41,3925.51
Wells-Miller,7898529335,Port Andreashire,Christopherville,2023-03-07 11:43:59,2024-12-30 07:38:29,2326.61,4153.99
"Casey, Robinson and Hunter",8767127848,Port Sarahfort,South Henryville,2023-05-28 17:37:26,2024-12-08 20:35:02,4275.68,697.45
"Harvey, Sanders and Simmons",5007928580,West Erinshire,Lake Christopher,2023-12-11 21:22:14,2024-12-28 07:27:25,6275.78,6153.51
"Thomas, Taylor and Allen",1046778019,Port Karen,Port Kevinfort,2023-02-19 21:15:52,2024-03-29 09:02:39,5631.44,4808.21
Perez-Miller,7500749875,Wallsport,South Courtneyton,2023-06-27 04:48:47,2024-04-15 14:37:48,6102.97,870.34
Conway-Clark,8366966158,West Bianca,Taylorport,2023-06-08 19:16:33,2024-03-02 17:32:46,4991.01,1752.41
Freeman-Rush,9482537983,Monroeville,Lake Erinbury,2023-08-30 11:47:23,2024-10-02 18:18:10,4977.64,7030.33
Welch Group,568226907,Rodriguezland,Dawsonburgh,2023-11-15 09:54:10,2024-04-11 15:03:52,5242.42,9594.35
Taylor Group,6885097096,North Thomas,Delacruzburgh,2023-04-25 17:49:46,2024-05-04 12:49:38,5927.26,471.43
Greene-Acosta,3222710612,Tarashire,Williamburgh,2024-02-17 01:56:27,2024-10-28 22:04:44,5414.13,8566.77
"Solomon, French and Smith",1738992,Lindafurt,Lake Randallchester,2023-06-27 21:32:27,2024-11-27 16:14:10,3839.85,1439.13
"Ross, Carter and Hamilton",4943973859,North Tinaborough,New Marystad,2023-03-02 01:25:34,2025-02-01 07:33:04,4031.43,7159.27
Richard LLC,344154141,New Charles,Cruzshire,2024-01-13 20:01:24,2024-07-23 22:00:55,1715.44,2004.34
Robinson-Mendoza,2186239250,Port Rebeccatown,Hayeschester,2023-06-29 23:00:35,2025-02-13 10:18:04,4311.97,9621.46
Miller Group,9379710726,Brooksshire,Gainesville,2023-08-26 13:29:58,2024-12-06 06:16:18,6521.28,1149.52
"Hill, Peterson and Ortiz",8150799916,Olsonland,Hallbury,2023-07-22 19:54:19,2024-06-18 11:45:43,3327.97,5253.74
Anderson-Chambers,7076192532,West Marytown,South Melissa,2023-04-02 04:44:44,2024-07-17 20:27:27,5683.36,6483.85
"Taylor, Moran and Jackson",707645703,New Emilyborough,South Melissaport,2023-03-06 13:02:34,2025-02-16 08:19:26,9797.07,6027.64
Butler PLC,3814756845,New Alexandra,Flowersbury,2023-12-07 16:39:57,2024-09-07 00:53:06,5087.38,2494.02
Nash PLC,3974936360,Kristenbury,North William,2023-08-01 21:30:48,2024-06-29 21:56:53,1691.04,9699.44
"Rodriguez, Smith and Sharp",1768227507,Weavertown,Eddiestad,2023-05-03 20:56:14,2024-06-15 05:40:35,4313.48,4475.23
"Walker, Duncan and Lawson",8489131873,North Maryshire,North Kevinshire,2023-08-31 17:18:52,2024-08-19 23:29:09,4461.44,5170.78
Miles-Ross,3399868953,Ryanport,New William,2023-09-11 09:27:42,2025-01-06 13:08:17,5791.37,3771.98
Murray Group,8523815828,North Kurt,Shannonshire,2023-11-01 02:27:41,2024-12-21 14:43:25,9314.02,6004.32
"Cunningham, White and Matthews",4480803533,Anthonyburgh,Port Jessica,2024-01-04 06:08:22,2024-12-02 19:56:37,6174.09,128.19
Luna-Stewart,6296535362,Sarahville,Maryhaven,2023-12-27 06:28:41,2024-11-16 22:57:09,3548.0,4267.11
"Wilson, Khan and Mcclure",9170937311,Jessicamouth,New Tyler,2023-10-09 14:30:19,2025-02-05 22:17:24,8428.66,9471.87
Mendez-Johnson,8006151863,Reynoldsshire,Johnfort,2023-06-06 05:35:48,2024-10-25 02:35:59,6093.36,2337.63
Robinson LLC,906179918,Hoffmanmouth,Joseside,2023-07-18 04:33:46,2024-09-03 12:49:42,4420.43,5076.76
"Allen, Wilkinson and Adams",5936227419,Lake Jofurt,Wrightville,2024-01-26 17:22:43,2024-12-08 12:04:32,2057.27,2016.2
Johnson Group,3882545030,New Gina,Patriciachester,2024-02-07 10:44:59,2025-01-21 23:16:26,2637.09,8769.44
Freeman-Mccall,4130217383,Lynnberg,New Donald,2023-12-06 17:53:10,2024-07-05 20:08:39,1427.53,9393.65
Villanueva PLC,6285112068,Lake Trevorville,South Nicholasbury,2023-10-29 03:38:04,2024-08-01 15:14:23,3817.37,3023.95
"Jones, Padilla and Kramer",604723000,Erinburgh,Solomonstad,2023-03-20 09:09:55,2024-08-29 12:33:45,6958.19,8405.09
"Pearson, Jones and Bailey",4515298648,East Ashleychester,Greenbury,2023-04-07 15:54:58,2024-08-02 05:03:53,5402.52,662.31
Allen-Escobar,1000412320,New Chad,North Melanie,2023-06-25 05:21:13,2024-09-08 08:00:14,9745.37,1557.7
Brown-Cruz,441660879,North Jamesview,Walkermouth,2024-02-08 01:29:50,2024-05-16 21:09:27,9740.75,2400.02
"Camacho, Martinez and Conrad",7080558886,Donaldborough,Scottview,2023-09-11 02:43:14,2024-02-25 07:49:53,2054.44,7075.87
Rice-Anderson,1763175812,Daniellechester,West Joshua,2023-03-27 18:40:42,2024-05-18 12:39:33,4989.53,7962.18
"Tate, Barnes and Henderson",4447689559,West Morgantown,Archerside,2023-12-11 10:36:07,2024-08-22 02:44:00,4654.59,1136.8
Cross Inc,169273419,Tiffanytown,Quinnport,2023-07-31 22:07:53,2024-09-24 00:03:49,6812.42,2329.41
Ramsey Group,1116784999,South Teresaborough,West James,2023-05-07 06:53:04,2024-11-05 03:48:50,2739.85,7515.4
Brown-Hill,1405247494,Lake Jamestown,North Catherinefurt,2023-08-08 12:26:35,2024-08-01 05:45:55,8363.49,604.8
Edwards LLC,6246375244,Woodschester,South Jessica,2023-05-18 17:53:46,2024-11-04 19:47:17,3745.47,5712.14
"Collins, Ramirez and Lopez",4595414912,Yolandaport,Lake Katrinafurt,2023-07-06 01:46:03,2024-03-02 19:59:39,5626.3,6111.19
Hall-Bird,8819343562,West Philiptown,Taylorside,2023-09-08 23:38:55,2024-06-11 17:27:41,9434.74,6428.51
Leonard Ltd,793829496,Bankstown,Melissachester,2023-03-18 12:17:21,2024-03-15 13:14:22,2796.36,6763.9
Jackson PLC,7757667731,Millershire,Michaelland,2024-01-24 19:57:27,2024-12-02 02:18:49,9736.21,6339.83
Allen-Simmons,2131715319,Perryport,Port Brian,2023-09-13 11:51:11,2025-01-30 07:51:56,2957.54,3559.56
"Johnson, Mcneil and Williams",2913040739,Castroport,West Tommyberg,2023-05-11 13:37:35,2025-01-04 06:56:04,7359.71,7909.05
"Griffin, Love and Burke",1659184044,Michaelfort,Rojasstad,2023-08-02 00:48:00,2024-07-06 17:43:34,6770.64,7607.71
Ramirez-Rose,7155818454,Lewisside,Martinview,2023-08-24 10:39:21,2024-12-13 23:01:27,9218.17,1738.1
Roy-Reynolds,9843078662,Thomasmouth,Josefurt,2023-05-28 00:19:54,2024-05-18 09:22:02,9809.52,4611.7
Prince-Webster,4096878023,North Tracyshire,Jacksonchester,2023-10-22 10:37:36,2024-07-21 07:32:28,6740.88,8543.11
Ross Inc,6669010357,Jamesside,South Jenniferside,2023-05-15 09:14:57,2024-08-27 12:16:53,3517.42,7528.47
"Sherman, Jensen and Cox",3023348768,West Manuel,Woodport,2023-07-22 08:57:19,2024-11-26 05:50:50,8337.27,6165.65
Sullivan Group,6867952063,New Benjaminmouth,Floresburgh,2023-07-05 17:42:37,2024-05-10 00:32:33,6727.6,2678.23
"Campbell, Keller and Kelly",7248516418,Lake Anneport,Hernandezport,2023-03-06 05:33:29,2024-07-05 19:00:33,5730.66,5083.95
Levy-Williams,5336352955,East Jay,Port James,2023-12-11 16:38:08,2024-05-24 09:03:48,2947.74,5458.55
"Warren, Baker and Young",3462208158,East Aliciatown,Drakeberg,2023-03-16 12:36:30,2024-08-08 23:37:05,4270.89,7860.04
"Strickland, Carlson and Wilkins",6197864457,Garciastad,Jeffreyborough,2023-12-07 02:59:57,2024-08-18 17:28:41,7571.23,8566.85
Haynes LLC,9771552125,Lake Richardfort,Thomasbury,2023-04-28 22:21:02,2024-04-12 14:02:14,6312.98,2289.15
Young-Wallace,4233486258,East Veronica,South Jeanettetown,2023-07-02 15:10:01,2025-01-05 18:00:19,7127.08,2679.75
Thomas-Mendoza,6389059352,North Williemouth,Fisherville,2024-01-06 15:12:38,2024-09-02 04:32:14,8581.12,3962.7
Mayo-Simmons,5411679294,Diaztown,Michelleside,2023-09-07 01:50:12,2024-08-01 11:45:41,4945.25,7450.19
"Sharp, Joyce and Wright",9729458114,East Ashley,South Sueberg,2023-06-13 10:04:53,2024-02-19 21:37:50,4397.62,9815.97
Rodriguez Inc,8969431969,Port Jared,East Susan,2024-01-11 00:39:40,2024-05-14 02:48:23,4412.94,9672.82
Reilly-Thomas,5683260528,Chavezburgh,Lake Frank,2023-11-10 07:18:39,2024-08-18 08:22:34,6254.63,4122.81
"Simon, Solomon and Lopez",9812309678,Allenport,Joshuastad,2023-03-02 01:40:06,2024-06-09 18:21:33,1278.0,5854.36
Richardson-Nelson,242238458,Flemingland,Hutchinsonbury,2023-08-13 15:38:24,2024-06-13 11:03:20,9625.04,5086.96
White-Smith,1965456163,South Robertland,New Aliceland,2023-04-26 06:23:37,2024-12-19 03:56:28,5398.95,7504.73
Crawford LLC,8239792088,Bellberg,West Danielfort,2023-09-17 01:43:08,2025-01-24 21:33:46,6771.96,9232.6
"Bowers, Daniels and Lynn",612648045,Jackton,Kathrynside,2023-10-31 01:32:49,2024-09-03 21:19:49,9182.59,1357.21
Sloan-White,143232632,Coleburgh,East Russellville,2023-05-06 12:06:24,2024-11-16 06:02:00,5600.3,2111.3
"King, Kennedy and Schneider",3478772427,Port Sydneybury,East Deannaville,2023-11-10 00:55:26,2024-05-18 18:04:28,3869.78,2931.54
"Vargas, Woods and Thompson",4429690670,Joshuatown,Brownburgh,2023-10-02 08:15:32,2024-06-28 02:48:21,2730.16,4600.04
"Parks, Weber and West",3702381836,Reidbury,North Connie,2023-06-18 14:16:59,2024-03-17 16:02:35,3202.32,1678.53
Sanchez-Avila,9114272402,South Jason,Timothyberg,2023-09-07 15:11:24,2024-08-31 09:33:17,8719.76,3490.54
"Lee, Ross and Hernandez",3297651017,North Tyler,Robertborough,2023-07-20 19:58:34,2024-07-01 22:46:45,3898.95,6591.95
Wright Inc,9760792743,Port Juliefort,South Christopherport,2024-01-11 06:03:36,2024-03-21 05:58:19,9928.7,1119.31
Hunt-Davenport,6448769233,West Christiantown,West Johnfort,2023-10-22 06:23:06,2024-08-11 04:29:09,7323.94,5116.12
Harris Ltd,8581680227,Anthonyfurt,Davisport,2023-03-12 15:47:32,2024-12-06 21:33:50,6635.0,3277.12
"Burns, Gonzales and Duncan",5824259775,South Ryanborough,East Phillip,2023-06-27 15:43:07,2024-04-20 09:57:03,6130.9,9970.92
Stanton-Harris,1953716460,Paulmouth,East Joseph,2023-11-14 09:40:51,2024-08-20 04:48:13,6943.57,6654.61
"Jones, James and Rivera",9479726190,New Ricardo,Williamsonbury,2023-11-21 02:27:58,2024-07-17 10:02:27,1484.36,503.35
Davis Ltd,5141151769,North Krista,Gilesfurt,2023-11-11 02:40:36,2025-02-05 18:10:09,7893.15,3688.68
"Conway, Hernandez and Mendoza",8494475636,Hoffmanmouth,New Davidbury,2023-03-08 21:06:08,2024-09-19 02:14:53,8569.23,6534.45
Mccormick LLC,4875019126,South Shirley,New Kerrymouth,2023-05-27 00:30:22,2024-08-13 09:12:49,2142.24,1698.67
